channelTitle,title,videoIDS,video_description,publishedDate,likes,dislikes,views
EminemMusic,Unaccommodating (feat. Young M.A) [Official Audio],MHZGOJ1kysc,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-27T21:09:37Z,118944,3220,11106193
EminemMusic,"You Gon' Learn (feat. Royce Da 5'9"" & White Gold) [Official Audio]",RnNJ7uVR7hM,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-27T21:18:02Z,124308,2749,13570108
EminemMusic,In Too Deep [Official Audio],cmxdavhOg0Q,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-27T21:26:22Z,52593,1165,5286863
EminemMusic,Those Kinda Nights (feat. Ed Sheeran) [Official Audio],o6BYffaYzL4,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-27T21:22:27Z,114936,2137,10757765
EminemMusic,Godzilla (feat. Juice WRLD) [Official Audio],9XvXF1LrWgA,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-27T21:28:39Z,955427,13861,71332560
EminemMusic,Darkness [Official Audio],skn7T_XPQnY,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-27T21:33:02Z,58710,1005,4863969
EminemMusic,Leaving Heaven (feat. Skylar Grey) [Official Audio],ftujE679Wx0,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-27T21:37:03Z,83765,1431,8336433
EminemMusic,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun) [Official Audio]",BZ09A39xECk,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-27T21:40:37Z,44247,1291,4466825
EminemMusic,Stepdad [Official Audio],yf52IpdAZKg,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-27T21:43:12Z,49620,1007,4498984
EminemMusic,Marsh [Official Audio],0WkIZwM5_vc,"From the album Music To Be Murdered By, out now: https://smarturl.it/MTBMB

http://eminem.com
http://facebook.com/eminem
http://twitter.com/eminem
http://instagram.com/eminem

http://shadyrecords.com
http://facebook.com/shadyrecords
http://twitter.com/shadyrecords
http://instagram.com/shadyrecords",2020-01-28T02:40:52Z,72435,1304,7401848
