channelTitle,title,videoIDS,video_description,publishedDate,likes,dislikes,views
FORMULA 1,From Highs To Heartbreak: George Russell's Extraordinary Mercedes Debut,eglCFzxWg6U,"The Briton was just 0.026s off pole position, stole the lead at the race start, and led for 59 laps before his hopes of a maiden Grand Prix victory were punctured. Listen in on the team radio and re-live an incredible first race for George Russell and Mercedes...

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #SakhirGP",2020-12-08T17:30:02Z,5268,39,42376
FORMULA 1,Top 10 Moments Of Sergio Perez Brilliance,v_1OpLmmNDo,"The Mexican waited 10 years for his first ever F1 win. Journey back through the career of the 2020 Sakhir Grand Prix winner and relive some of his stand-out moments.

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1",2020-12-08T16:16:28Z,15311,87,107660
FORMULA 1,"Why Sergio Perez Must Stay, Mercedes' Pit Stop Chaos And More | F1 Nation Podcast",pjIGRGIlNVM,"On the newly renamed 'Perez Nation' Tom Clarkson and Alex Jacques relive an incredible F1 week. They debate if Mercedes might consider George Russell replacing Valtteri Bottas for 2021 (3:53) and hear why victory slipped away with Andrew Shovlin (12:12). Then there's a review of Sergio Perez's stunning last to first win, plus whether it will keep him on the grid for 2021 (20:57), finally hall of fame F1 journalist David Tremayne reflects on the strangest of F1 seasons (31:45).

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1",2020-12-08T13:01:32Z,1021,37,17463
FORMULA 1,Top 5 Formula 2 Moments | 2020 Sakhir Grand Prix,F8C1iaPdfj8,"A crash in qualifying, breathtaking battles and a champion crowned! - Take a look at the top five moments from the FIA Formula 2 season finale!

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F2 #RoadToF1 #SakhirGP",2020-12-08T12:30:03Z,3494,36,65609
FORMULA 1,The Story Of Sergio Perez's Incredible Win | 2020 Sakhir Grand Prix,Ou-aMmOfGio,"Sergio Perez waited a long time for his first F1 win - and he was forced to do it the hard way in an epic race at Sakhir. Here's the story of an unforgettable couple of hours for the Mexican driver...

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #SakhirGP",2020-12-07T20:06:20Z,17853,123,387148
FORMULA 1,"Perez's First Win, Mercedes' Disappointment And The Best Team Radio | 2020 Sakhir Grand Prix",l4IOYEuJxvk,"What a race! And now's your chance to relive it with exclusive radio from the drivers, through the highs and lows of what were 87 drama-fuelled laps under the Bahrain lights.

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1",2020-12-07T19:00:06Z,29610,182,770429
FORMULA 1,The Drivers' Post-Race Reaction | 2020 Sakhir Grand Prix,HaSR1yBKIP4,"We hear Sergio Perez after his maiden Formula 1 victory, Esteban Ocon following his first podium, George Russell's summary of his Mercedes debut and more following a memorable race under the Bahrain lights.

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1",2020-12-06T23:58:59Z,13176,85,400422
FORMULA 1,Grand Prix von Sakhir 2020: Rennhighlights,9b1sZmX_FMw,"Ein unvergesslicher erster Formel-1-Sieg, ein atemberaubendes Drama in der ersten Runde und vieles mehr! Erleben Sie den fantastischen Grand Prix von Sakhir 2020 noch einmal

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1",2020-12-06T23:41:23Z,1093,41,37260
FORMULA 1,Grand Prix de Sakhir 2020: les meilleurs moments,ASQh5403qpI,"Un vainqueur inédit et un premier tour de folie pour une course inoubliable! Revivez ce fantastique Grand Prix de Sakhir 2020

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #SakhirGP",2020-12-06T23:19:38Z,405,40,15946
FORMULA 1,2020 Sakhir Grand Prix: Race Hoogtepunten,bNClosXcFVk,"Een memorabele eerste overwinning in de Formule 1, een bloedstollende eerste ronde en wat gebeurde er in de tussentijd? Herbeleef het onmogelijke: de Sakhir Grand Prix 2020

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #SakhirGP",2020-12-06T23:12:06Z,219,8,6441
