channelTitle,title,videoIDS,video_description,publishedDate,likes,dislikes,views
NBA,BEST Of Giannis Antetokounmpo's Back-To-Back MVP Seasons | #NBABDAY,LmfyGHBRjeo,"Join us in wishing back-to-back #KiaMVP Giannis Antetokounmpo of the Milwaukee Bucks a HAPPY 26th BIRTHDAY‼ #NBABDAY

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-06T14:24:16Z,2923,63,90202
NBA,Russell Westbrook's Press Conference 12/5/20,LRsTVegeJr8,"Russell Westbrook speaks to the media for the first time as a member of the Washington Wizards!

The 2020-21 NBA Season Starts Christmas Week with Games Beginning Tuesday, December 22. #KiaTipOff20

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-05T20:16:30Z,2366,49,64316
NBA,Bam Adebayo Full Press Conference 12/4/20,1yQ7kilcdeA,"Miami Heat All-Star Bam Adebayo speaks to the media to preview the 2020-21 NBA season.

The 2020-21 NBA season starts Christmas Week with games beginning Tuesday, December 22! #KiaTipOff20

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-04T22:06:43Z,569,14,16735
NBA,DeAndre Ayton Full Press Conference 12/3/20,SljQrR7vbqE,"DeAndre Ayton sat down with members of the media to talk about the Suns' roster and the upcoming season.

The 2020-21 NBA season tips off on Dec. 22 and preseason games begin on Dec. 11.

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-03T21:40:11Z,542,9,14589
NBA,Nikola Jokic Full Media Availability | 12/3/20,9cqAdYE0pbA,"Denver Nuggets All-Star Nikola Jokic talked to the media to preview the 2020-21 NBA season.

The 2020-21 NBA season tips off on 22, with preseason games starting on Dec. 11.


Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-03T20:52:47Z,603,14,13215
NBA,Stephen Curry Talks To The Media | 12/2/20,E1vhvIylOGA,"Two-time NBA #KiaMVP Stephen Curry sat down to take questions from the media ahead of the start of the 2020-21 NBA season!

The Golden State Warriors tip off their 2020-21 season against the Brooklyn Nets on Dec. 22 at 7pm/et on TNT.

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-02T21:02:14Z,2643,32,71329
NBA,Chris Paul Media Availability | 12/2/20,XRMn4ZiPumo,"New Phoenix Suns guard Chris Paul sits down with the media to discuss the upcoming season.

2020-21 NBA Season tips off on Dec. 22.

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-02T20:10:59Z,502,10,14431
NBA,Zion Williamson Full Press Conference | 12/2/20,-NIh2VNbJuI,"Zion Williamson met with the media to discuss his upcoming second season in New Orleans.

The 2020-21 NBA season tips off on Dec. 22!

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-02T18:40:36Z,1097,22,25098
NBA,Brooklyn Nets Head Coach Steve Nash Meets With The Media | 12/1/20,yOsc6mtBWUU,"First-year Brooklyn Nets head coach Steve Nash met with the media today to talk about his new squad. 

The 2020-21 NBA season tips off on Dec. 22!

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-01T23:15:25Z,726,19,24750
NBA,Luka Doncic Media Availability | 12/1/20,dJSI5z8XuKw,"Luka Doncic sat down with the media on the first day of training camp. 

Catch Luka and the Mavericks when the 2020-21 season tips off on Dec. 22.

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5",2020-12-01T22:59:35Z,1142,19,28374
