channelTitle,title,videoIDS,video_description,publishedDate,likes,dislikes,views
RonaldOMG,MOVING MY BASE!,t1ez9hEptyQ,"I'm moving my base to a new location!

Website: https://www.sisvsbro.com

 @Ronald Kurzawa  
► https://www.youtube.com/c/RonaldKurzawa

 @SIS vs BRO  
► https://www.youtube.com/c/SISvsBROTHER

My Dad's gaming channel;  @Freddy  
► https://www.youtube.com/c/FreddyGoesBoom

Karina's gaming channel @GamerGirl  
► https://www.youtube.com/c/GamerGirlTV",2020-12-06T13:25:19Z,8089,231,199449
RonaldOMG,MAKING SPYGLASS!,4yNov5fLlH4,"I found all the items to make the spyglass and it is awesome!!! I'm making spyglass!!!

Website: https://www.sisvsbro.com

 @Ronald Kurzawa  
► https://www.youtube.com/c/RonaldKurzawa

 @SIS vs BRO  
► https://www.youtube.com/c/SISvsBROTHER

My Dad's gaming channel;  @Freddy  
► https://www.youtube.com/c/FreddyGoesBoom

Karina's gaming channel @GamerGirl  
► https://www.youtube.com/c/GamerGirlTV",2020-12-04T19:37:05Z,8763,252,225540
RonaldOMG,Season 5 Battlepass,UDFyvEdNLg8,"Season 5 Battlepass. New Fortnite Season 5 just dropped and we are looking at new season 5 skins/emotes, and hot spot drop locations.",2020-12-02T11:22:17Z,13300,533,440369
RonaldOMG,GALACTUS LIVE EVENT,ebXlo8rIGOs,Covering the GALACTUS LIVE EVENT in Fortnite!,2020-12-01T19:48:32Z,16465,536,474997
RonaldOMG,SCAVENGING THE DESERT!,CPchaQJXZmQ,"Going on the scavenger hunt in the desert...

Website: https://www.sisvsbro.com

 @Ronald Kurzawa  
► https://www.youtube.com/c/RonaldKurzawa

 @SIS vs BRO  
► https://www.youtube.com/c/SISvsBROTHER

My Dad's gaming channel;  @Freddy  
► https://www.youtube.com/c/FreddyGoesBoom

Karina's gaming channel @GamerGirl  
► https://www.youtube.com/c/GamerGirlTV",2020-11-30T21:25:49Z,7125,212,185191
RonaldOMG,NO DYING CHALLENGE!,b1bwFKayI2g,"The challenge is not to die in hardcore Minecraft!!!

Website: https://www.sisvsbro.com

 @Ronald Kurzawa  
► https://www.youtube.com/c/RonaldKurzawa

 @SIS vs BRO  
► https://www.youtube.com/c/SISvsBROTHER

My Dad's gaming channel;  @Freddy  
► https://www.youtube.com/c/FreddyGoesBoom

Karina's gaming channel @GamerGirl  
► https://www.youtube.com/c/GamerGirlTV",2020-11-27T17:05:42Z,9454,275,263944
RonaldOMG,Its the Big Brain vs Karina the Impostor!!!,GzVVPbO8CF4,"How to grow a big brain in Among Us with Karina being an Impostor!!!

Website: https://www.sisvsbro.com

 @Ronald Kurzawa  
► https://www.youtube.com/c/RonaldKurzawa

 @SIS vs BRO  
► https://www.youtube.com/c/SISvsBROTHER

My Dad's gaming channel;  @Freddy  
► https://www.youtube.com/c/FreddyGoesBoom

Karina's gaming channel @GamerGirl  
► https://www.youtube.com/c/GamerGirlTV",2020-11-25T21:18:36Z,19495,640,700610
RonaldOMG,Karina Betrayed Me!!!,J4B-aW70Q5M,"I thought Karina was with me, but she betrayed and turned against me!?

Website: https://www.sisvsbro.com

 @Ronald Kurzawa  
► https://www.youtube.com/c/RonaldKurzawa

 @SIS vs BRO  
► https://www.youtube.com/c/SISvsBROTHER

My Dad's gaming channel;  @Freddy  
► https://www.youtube.com/c/FreddyGoesBoom

Karina's gaming channel @GamerGirl  
► https://www.youtube.com/c/GamerGirlTV",2020-11-24T20:52:06Z,19011,608,673069
RonaldOMG,KNOWING THAT KARINA IN THE IMPOSTOR!,Wj3UBwcJWfs,"Karina is the Impostor, and I have to convince everyone to vote her off!!!

Website: https://www.sisvsbro.com

 @Ronald Kurzawa  
► https://www.youtube.com/c/RonaldKurzawa

 @SIS vs BRO  
► https://www.youtube.com/c/SISvsBROTHER

My Dad's gaming channel;  @Freddy  
► https://www.youtube.com/c/FreddyGoesBoom

Karina's gaming channel @GamerGirl  
► https://www.youtube.com/c/GamerGirlTV",2020-11-23T21:19:19Z,12960,454,438621
RonaldOMG,Being BIG BRAIN on Polus in Among Us!,pR8Ngz_x-L0,"Analyzing Among Us who is the Impostor!

Website: https://www.sisvsbro.com

 @Ronald Kurzawa  
► https://www.youtube.com/c/RonaldKurzawa

 @SIS vs BRO  
► https://www.youtube.com/c/SISvsBROTHER

My Dad's gaming channel;  @Freddy  
► https://www.youtube.com/c/FreddyGoesBoom

Karina's gaming channel @GamerGirl  
► https://www.youtube.com/c/GamerGirlTV",2020-11-20T18:09:41Z,11283,347,363079
