channelTitle,title,videoIDS,video_description,publishedDate,likes,dislikes,views
T-Series,Delhi 6 | Video Jukebox | A.R. Rahman | Abhishek Bachchan | Sonam Kapoor | Rakeysh Omprakash Mehra,sok0fLgwv4I,"Presenting the video jukebox of Bollywood movie Delhi 6 featuring Abhishek Bachchan & Sonam Kapoor. The music of Bollywood movie is given by A.R. Rahman while songs are written by Prasoon Joshi. The movie is directed by Rakeysh Omprakash Mehra; Produced by Ronnie Screwvala & Rakeysh Omprakash Mehra. Enjoy and stay connected with us !!

♪ Arziyan ► 00:09
♪ Masakali ► 02:07
♪ Dilli 6 ► 06:05
♪ Rehna Tu ► 09:16
♪ Hey Kaala Bandar ► 11:18 
♪ Dil Gira Dafatan ► 13:02
♪ Genda Phool ► 16:35
♪ Bhor Bhaye ► 18:20

Song - Noor
Singer - Amitabh Bachchan
Lyricist - Prasoon Joshi
Music Director - A.R. Rahman

Song - Arziyan
Singer - Javed Ali, Kailash Kher
Lyricist - Prasoon Joshi
Music Director - A.R. Rahman

Song - Masakali
Singer - Mohit Chauhan
Lyricist - Prasoon Joshi
Music Director - A.R. Rahman

Song - Dilli-6
Singer - Blaaze, Benny, Tanvi, Viviane, Claire
Lyricist - Viviane, Claire
Music Director - A.R. Rahman

Song - Rehna Tu
Singer - A R Rahman, Benny Dayal, Tanvi
Lyricist - Prasoon Joshi
Music Director - A.R. Rahman

Song - Hey Kaala Bandar
Singer - Karthik, Naresh, Srinivas, Bony Chakravarthy
Lyricist - Prasoon Joshi
Music Director - A.R. Rahman

Song - Dil Gira Dafatan
Singer - Ash King, Backing Chinmayee
Lyricist - Prasoon Joshi
Music Director - A.R. Rahman

Song - Genda Phool
Singer - Rekha Bharadwaj, Shraddha Pandit, Sujata Majumdar
Lyricist - Prasoon Joshi
Music Director - A R Rahman, Rajat Dholakia

Song - Bhor Bhaye
Singer - Bade Ghulam Ali Khan, Shreya Ghoshal
Lyricist - Prasoon Joshi
Music Director - A R Rahman
___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉 Like us on Facebook: https://www.facebook.com/tseriesmusic
👉 Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",2020-12-08T12:59:44Z,5331,474,105354
T-Series,Sayonee - Official Trailer | Tanmay Ssingh | Musskan S | Rahul Roy | 18th December 2020,PNf2chpQli4,"Love demands a lot from you. Sometimes, it demands you to go to the edge of the world. Sayonee, a musical action thriller starring Tanmay Ssingh and Musskan Sethi promises to keep you glued to the edge of your seats with high octane action and drama.

Releasing in theatres on 18th December 2020
#SAYONEE #SayoneeTrailer #TanmaySsingh

Cast – Introducing Tanmay Ssingh, Musskan Sethi, Rahul Roy, Yograj Singh, Upasana Singh
Directed by - Nitin Kumar Gupta and Abhay Singhal
Produced by - Lucky Nadiadwala Morani Productions and D&T Productions Pvt. Ltd.
Editor - Abhay Singhal
Director of Choreography – Ravi Akhade, Shruti Sinha and Jayesh Pradhan
Story, Screenplay & Dialogues – D&T, Nitin K Gupta, Eshwari Yash,Vishal O Sharma, Twinkle Agarwal
PR – Picture & Kraft
Digital Agency – DeepDive Digital Pvt. Ltd
Dop - Johny Lal and Andrey Eremenko
Art Director - Akruti Sinha
Executive Producer – Rajan Batra (Batra Showbiz), Abhay Singh, Ashwani Kumar (KNF Films)
Creative Director – Lucky Morani
Creative Producer – Mohomed Morani
Di - Prasad Film Labs (Mumbai)
Background Score – Satish Chakarvarthy
Sound Designer – Manav Shrotriya
Re-Recordist – Anup Dev (CAS)
VFX supervisor - Anuj Deshpande
VFX – Prasad Labs & Golden Media Works
Music Composer: Anamta - Amaan and Rangon
Singers – Arijit Singh, Mika Singh, Sachet Tandon, Jyoti Nooran, Sukriti Kakar and Anamita Khan
Lyricists: Mukesh Sachdeva, Rahi Alukik, Anamta – Amaan, Sohail Haider and Eshwari Yash
Visual Promotion – Regno Post
Publicity Design – Lalji Wagh (VOW Design)
___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉  Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",2020-12-08T11:30:38Z,21038,3064,391504
T-Series,Nayan Video Song | Dhvani B Jubin N | Lijo G Dj Chetas Manoj M Manhar U | Radhika Vinay |  Bhushan K,uKHlnmepnNA,"Gulshan Kumar and T-Series presents Bhushan Kumar's ""Nayan"" brand new song in the voice of ""Dhvani Bhanushali"" & “Jubin Nautiyal”, music is given by Lijo George & Dj Chetas while lyrics are penned by Manoj Muntashir. The video is directed by Radhika Rao & Vinay Sapru.

♪Stream the Full Song Here♪ 
JioSaavn: https://bit.ly/Nayan-JioSaavn
Spotify: https://bit.ly/Nayan-Spotify
Hungama: https://bit.ly/Nayan-Hungama
Gaana: https://bit.ly/Nayan-Gaana
Apple Music: https://bit.ly/Nayan-AppleMusic
Amazon Prime Music: https://bit.ly/Nayan-AmazonPrimeMusic
Wynk: https://bit.ly/Nayan-Wynk
Resso: https://bit.ly/Nayan-Resso
iTunes: https://bit.ly/Nayan-iTunes
YouTube Music: https://bit.ly/Nayan-YoutubeMusic

Song - Nayan
Singers - Dhvani Bhanushali & Jubin Nautiyal
Lyrics By - Manoj Muntashir
Music By - Lijo George & Dj Chetas
Mixed and Mastered By - Eric Pillai
Additional Music - Abhijit Vaghani
Song Recorded at T Series studio. Recorded by Surajit Ghosh Mazumdar

Original credits
Song: Nayan Ne Bandh Rakhi Ne
Singer: Manhar Udhas
Lyrics: Barkat Virani Befam
Music: Y.S. Moolky

Story Concept, Dialogues & Poem By - Radhika Rao & Vinay Sapru
Cast -  Dhvani Bhanushali, Ansh Duggal, Urja Sharma, Nidhi Sharma, Isha Shah, Ariz Qureshi, Muskaan Kapoor, Siddharth Vakil, Apoorv Shrimal
Director Of Photography – Santosh Thundiyil
Production Designer - Parichit Paralkar
Choreographer -  Firoz A Khan
Costume Styling Concept & Ideas - Radhika Rao & Vinay Sapru
Costume Stylist  – Vibhuti Chamria
Rao & Sapru Films Commercial & Operations Head - Priyanka S Jaiswal
Casting Director -  Nihal Khan
Production Head – Raj Bavaria & Manish Shukla
Company Make Up & Hair Stylist – Afsar Khan
Offline Editor - Abhishek Kumar Singh
Promos By - Rao & Sapru Films 
Promo Editor - Ambar Vyas
Direction Assistants - Rajkumar Dubey, Arun Pandey, Aayansh Pandey
Making & Stills - Brijesh Singh
Location Manager  - Pratik Sunil Bhor
Background Music By - Abhijit Vaghani
Mix & Mastered By - Eric Pillai (Future Sound Of Bombay)
President Marketing, Media & Publishing: Vinod Bhanushali
President Digital & Legal - Neeraj Kalyan
Senior Vice President Films - Shiv Chanana
Music Team : Raj Chanana, Shivam Chanana, Sonal Chawla, Sonu Srivastava, Vivin Sachdeva
Marketing Team : Bhavesh Bhanushali, Pooja Vora, Rajendram Akula, Shivam Chanana
Pr Team : Payal Nair, Alok Srivastava
Promotions Team : Mita Choudhary,  Aishwarya Shetty, Yesha Shah, Naren Tomar, Rajesh Attri, Alok Kumar Shukla
Digital Team: Varun Arora, Juhi Singh, Akanksha Chaudhary, Garishma Gandhi, Prashant Shetty,  Andrew D’souza, Sana Shaikh
Post Production  (T-Series): Anil Shinde, Rishi Ram Neupane
Tseries Recording Studio – Surajit Ghosh Mazumdar
Art Assistant –  Shikha Ghutla, Aneri Shah
Choreographer Assistant – Wahid Thokan, Anvi Chitalia
Dop Assistants – Mousumi Mahanta, Md. Tayyab Shaikh, Vijay Kumar Verma
Casting Assistant – Mayurkumar Nyk
Rao & Sapru – Production Assistant Narendra Dwevidi
Costume Assistant For All Other Cast – Deepika Sawlani
Location Manager Assistant – Vibhav Bhour
Production Assistant – Prateek Singh, Shubham Tiwari, Asim Momin     
Post Production Studio & Colorist - Image Devices (I) Pvt. Ltd.
Special Thanks To Aalim Hakim
Video Produced By Rao & Sapru Films Pvt. Ltd.
___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉  Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",2020-12-08T05:34:36Z,577372,17108,11670710
T-Series,"KHAMOSH TANHAIYO MEIN(Full VIdeo)Harman B, Genelia D, Nana P| Javed A, Hamsika I |Shankar-Ehsaan-Loy",1LVXlCxG0dE,"Presenting brand new lyrical song Khamosh Tanhaiyo Mein from It's My Life bollywood movie featuring Harman Baweja, Genelia D'Souza, Nana Patekar in lead roles. The song is sung by Javed Ali, Hamsika Iyer composed by Shankar -Ehsaan-Loy and penned by Nilesh Mishra. The movie is set to release on 29 November 2020

♪Stream the Full Song Here♪ 
Spotify: https://bit.ly/KhamoshTanhaiyoMein-Spotify
Hungama: https://bit.ly/KhamoshTanhaiyoMein-Hungama
Apple Music: https://bit.ly/KhamoshTanhaiyoMein-AppleMusic
Amazon Prime Music: https://bit.ly/KhamoshTanhaiyoMein-AmazonPrimeMusic
Wynk: https://bit.ly/KhamoshTanhaiyoMein-Wynk
iTunes: https://bit.ly/KhamoshTanhaiyoMein-iTunes
Youtube Music: https://bit.ly/KhamoshTanhaiyoMein-YoutubeMusic

Song: Khamosh Tanhaiyo Mein
Singer: Javed Ali, Hamsika Iyer
Music: Shankar-Ehsaan- Loy
Lyrics: Nilesh Mishra
Movie: T-Series
Music Label: T-Series
___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉 Like us on Facebook: https://www.facebook.com/tseriesmusic
👉 Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",2020-12-07T13:00:00Z,5406,785,170289
T-Series,"Chhalaang: Care Ni Karda (Lyrical) Rajkummar R, Nushrratt B | Yo Yo Honey Singh, Alfaaz, Hommie D",VrO4a0wsi6E,"Gulshan Kumar & T-Series Films present, LYRICAL VIDEO of song ""Care Ni Karda"" from bollywood movie  Chhalaang starring Rajkummar Rao & Nushrratt Bharuccha. The film is written by Luv Ranjan, Aseem Arrora & Zeishan Quadri, it is directed by Hansal Mehta, produced by Ajay Devgn, Luv Ranjan & Ankur Garg, and presented by Bhushan Kumar.  

Chhalaang is slated to release on Amazon Prime Video, this Diwali, Nov 13.

Chhalaang is a hilarious, yet inspirational journey of a PT Master from a semi government funded school in Northern India. Montu (Rajkummar Rao) is a typical PT Master for whom it’s just a job. When circumstances put everything that Montu cares for at stake, including Neelu (Nushrratt Bharuccha) who he loves, Montu is forced to do what he has never done - Teach. Through Montu’s journey, Chhalaang humorously addresses the value of Sports Education in the school curriculum.

♪Stream the Full Song Here♪ 
JioSaavn: http://bit.ly/CareNiKarda-JioSaavn
Spotify: http://bit.ly/CareNiKarda-Spotify
Hungama: http://bit.ly/CareNiKarda-Hungama
Gaana: http://bit.ly/CareNiKarda-Gaana
Apple Music: http://bit.ly/CareNiKarda-AppleMusic
Amazon Prime Music: http://bit.ly/CareNiKarda-AmazonPrimeMusic
Wynk: http://bit.ly/CareNiKarda-Wynk
Resso: http://bit.ly/CareNiKarda-Resso
iTunes: http://bit.ly/CareNiKarda-iTunes
Youtube Music: http://bit.ly/CareNiKarda--YoutubeMusic
-----------------------------------------------------------------
♪ For Caller Tunes :
Care Ni Karda - https://bit.ly/3lh2eJW
Care Ni Karda - Miss Tujhe - https://bit.ly/3pfqyhE
Care Ni Karda - Har Baat - https://bit.ly/3n6bQra
Care Ni Karda - Rap - Swear Karu - https://bit.ly/36lLvid
♪ Set as Caller Tune:
Set ""Care Ni Karda"" song as your caller tune sms CLANG1 To 54646
Set ""Care Ni Karda - Miss Tujhe"" song as your caller tune sms CLANG2 To 54646
Set ""Care Ni Karda - Har Baat"" song as your caller tune sms CLANG3 To 54646
Set ""Care Ni Karda - Rap - Swear Karu"" song as your caller tune sms CLANG4 To 54646
♪ For VI Subscribers:
Care Ni Karda - https://vicallertunes.in/content/15157099/ringback
Care Ni Karda - Miss Tujhe - https://vicallertunes.in/content/15157097/ringback
Care Ni Karda - Har Baat - https://vicallertunes.in/content/15157098/ringback
Care Ni Karda - Rap - Swear Karu - https://vicallertunes.in/content/15157073/ringback
---------------------------------------------------------------
Song: Care Ni Karda
Singers: Sweetaj Brar, Yo Yo Honey Singh
Lyrics: Alfaaz, Yo Yo Honey Singh, Hommie Dilliwala
Music Produced by: Yo Yo Honey Singh
Mix Master: Singhsta 
Re-programming: Hommie Dilliwala
Music Label: T-Series
---------------------------------------------------------
Operator Codes:
1. Care Ni Karda
Vodafone Subscribers Dial 53712168496
Airtel Subscribers Dial 5432117552691
Idea Subscribers Dial 53712168496
Tata DoCoMo Subscribers dial 54321112168496
BSNL (South / East) Subscribers sms BT 12168496 To 56700
Virgin Subscribers sms TT 12168496 To 58475
MTNL Subscribers sms PT 12168496 To 56789

2. Care Ni Karda - Miss Tujhe
Vodafone Subscribers Dial 53712168497
Airtel Subscribers Dial 5432117555577
Idea Subscribers Dial 53712168497
Tata DoCoMo Subscribers dial 54321112168497
BSNL (South / East) Subscribers sms BT 12168497 To 56700
Virgin Subscribers sms TT 12168497 To 58475
MTNL Subscribers sms PT 12168497 To 56789

3. Care Ni Karda - Har Baat
Vodafone Subscribers Dial 53712168498
Airtel Subscribers Dial 5432117554784
Idea Subscribers Dial 53712168498
Tata DoCoMo Subscribers dial 54321112168498
BSNL (South / East) Subscribers sms BT 12168498 To 56700
Virgin Subscribers sms TT 12168498 To 58475
MTNL Subscribers sms PT 12168498 To 56789

4. Care Ni Karda - Rap - Swear Karu
Vodafone Subscribers Dial 53712168495
Airtel Subscribers Dial 5432117554818
Idea Subscribers Dial 53712168495
Tata DoCoMo Subscribers dial 54321112168495
BSNL (South / East) Subscribers sms BT 12168495 To 56700
Virgin Subscribers sms TT 12168495 To 58475
MTNL Subscribers sms PT 12168495 To 56789
___________________________________
Enjoy & stay connected with us!
👉Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉Follow us on Instagram: http://bit.ly/InstagramTseries",2020-12-07T10:30:02Z,12654,453,371178
T-Series,"Behind The Scenes - Heelein Toot Gayi | Badshah, Guru Randhawa, Kiara Advani, Aditya S, Aastha Gill",Pm-ssssVk9w,"Bringing you all the fun and laughter that went behind the making of Heelein Toot Gayi.
Gulshan Kumar, T-Series Films In Association With Emmay Entertainment, Electric Apples Entertainment, An Emmay Entertainment Production presents INDOO KI JAWANI written & directed by Abir Sengupta and produced by Bhushan Kumar, Divya Khosla Kumar, Krishan Kumar, Monisha Advani, Madhu Bhojwani, Nikkhil Advani, Ryan Stephen, Niranjan Iyengar. The film is Co-Produced by Kunal Advani (Emmay), Vinod Bhanushali & Shiv Chanana (T-Series), and President Global Digital Business & Legal Neeraj Kalyan (T-Series).
___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉  Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",2020-12-07T08:30:05Z,27024,1140,540730
T-Series,"YAARA VE Full Lyrical Video Song | Gandhigiri | Ankit Tiwari, Sunidhi Chauhan | T-Series",hcXVutWmAAU,"Presenting Full lyrical song "" YAARA VE "" from the Bollywood film "" Gandhigiri"" .The film  is starring Om Puri,Sanjay Mishra, Anupam Shyam, Mukesh Tiwari , Brijesh Karniwal,Dolly Chawla, Meghna Haldar , Rishi Bhutani, Ravi singh and Ram Sujan singh. The Movie is directed by Sanoj Mishra, Gandhigiri is produced by Aagaman films Pvt. Ltd. of Sudhir Jain & Pratap Singh Yadav.

Song ♫Also Available On:
iTunes: https://geo.itunes.apple.com/in/album/gandhigiri-original-motion/id1163225239?ls=1&app=itunes
Hungama : http://www.hungama.com/#/music/album-gandhigiri-songs/21781243
Saavn: http://www.saavn.com/s/album/hindi/Gandhigiri-2016/DB7tT8GWE7Q_

For Caller Tunes :
Yaara Ve  http://bit.ly/2dplXXs
Yaara Ve - Main Tujh Se http://bit.ly/2dFiYHF
Yaara Ve - Ulzan Si http://bit.ly/2cPUDOw

Set ""Yaara Ve  "" as your caller tune - sms GNDHI5 To 54646
Set ""Yaara Ve - Main Tujh Se"" as your caller tune - sms GNDHI6 To 54646
Set ""Yaara Ve - Ulzan Si"" as your caller tune - sms GNDHI7 To 54646
________________________________________
Operator Codes: 

1. Yaara Ve
Vodafone Subscribers Dial 5378627997
Airtel Subscribers Dial 5432115927215
Reliance Subscribers SMS CT 8627997 to 51234
Idea Subscribers Dial 567898627997
Tata DoCoMo Subscribers dial 5432118627997
Aircel Subscribers sms DT 6330978  To 53000
BSNL (South / East) Subscribers sms BT 8627997 To 56700
BSNL (North / West) Subscribers sms BT 6330978 To 56700
Virgin Subscribers sms TT 8627997 To 58475
MTS Subscribers  sms CT 6330946 to 55777
Videocon Subscribers dial 54321100503079
Telenor Subscribers dial 50016330915
MTNL Subscribers sms PT 8627997 To 56789

2. Yaara Ve - Main Tujh Se
Vodafone Subscribers Dial 5378627998
Airtel Subscribers Dial 5432115926701
Reliance Subscribers SMS CT 8627998 to 51234
Idea Subscribers Dial 567898627998
Tata DoCoMo Subscribers dial 5432118627998
Aircel Subscribers sms DT 6330973  To 53000
BSNL (South / East) Subscribers sms BT 8627998 To 56700
BSNL (North / West) Subscribers sms BT 6330973 To 56700
Virgin Subscribers sms TT 8627998 To 58475
MTS Subscribers  sms CT 6330941 to 55777
Videocon Subscribers dial 54321100503074
Telenor Subscribers dial 50016330910
MTNL Subscribers sms PT 8627998 To 56789

3. Yaara Ve - Ulzan Si
Vodafone Subscribers Dial 5378627999
Airtel Subscribers Dial 5432115927163
Reliance Subscribers SMS CT 8627999 to 51234
Idea Subscribers Dial 567898627999
Tata DoCoMo Subscribers dial 5432118627999
Aircel Subscribers sms DT 6330977  To 53000
BSNL (South / East) Subscribers sms BT 8627999 To 56700
BSNL (North / West) Subscribers sms BT 6330977 To 56700
Virgin Subscribers sms TT 8627999 To 58475
MTS Subscribers  sms CT 6330945 to 55777
Videocon Subscribers dial 54321100503078
Telenor Subscribers dial 50016330914
MTNL Subscribers sms PT 8627999 To 56789

SONG CREDITS :
Song : Yaara Ve…..
Singer: Ankit Tiwari, Sunidhi Chauhan
Music Director: Shashi Shivam
Lyricist: Sandeep Singh
Choreographer: Subhash Shukla
Music Label: T-Series

Enjoy and stay connected with us!!

Subscribe to T-Series Channel for unlimited entertainment
http://www.youtube.com/user/tseries?sub_confirmation=1




Like us on Facebook
http://www.facebook.com/tseriesmusic

Follow us on
http://www.twitter.com/tseries

Follow us on
http://www.instagram.com/tseries.official



----------------------------------------------",2020-12-07T06:00:06Z,15437,848,411443
T-Series,"Heelein Toot Gayi(Lyrical)Indoo Ki Jawani|Badshah,Guru Randhawa,Kiara Advani,Aditya Seal,Aastha Gill",tKmeJLujm4I,"Presenting the lyrical of second video song ""Heelein Toot Gayi” from the upcoming Bollywood movie ""Indoo Ki Jawani"" featuring Kiara Advani. The dramedy also features Aditya Seal and Mallika Dua in pivotal roles. 
Gulshan Kumar, T-Series Films In Association With Emmay Entertainment, Electric Apples Entertainment, An Emmay Entertainment Production presents INDOO KI JAWANI written & directed by Abir Sengupta and produced by Bhushan Kumar, Divya Khosla Kumar, Krishan Kumar, Monisha Advani, Madhu Bhojwani, Nikkhil Advani, Ryan Stephen, Niranjan Iyengar. The film is Co-Produced by Kunal Advani (Emmay), Vinod Bhanushali & Shiv Chanana (T-Series), and President Global Digital Business & Legal Neeraj Kalyan (T-Series).

♪Stream the Full Song Here♪ 
JioSaavn: https://bit.ly/HeeleinTootGayi-JioSaavn
Spotify: https://bit.ly/HeeleinTootGayi-Spotify
Hungama: https://bit.ly/HeeleinTootGayi-Hungama
Gaana: https://bit.ly/HeeleinTootGayi-Gaana
Apple Music: https://bit.ly/HeeleinTootGayi-AppleMusic
Amazon Prime Music: https://bit.ly/HeeleinTootGayi-AmazonPrimeMusic
Wynk: https://bit.ly/HeeleinTootGayi-Wynk
Resso: https://bit.ly/HeeleinTootGayi-Resso
iTunes: https://bit.ly/HeeleinTootGayi-iTunes
Youtube Music: https://bit.ly/HeeleinTootGayi-YoutubeMusic

Song: Heelein Toot Gayi
Featuring: Guru Randhawa
Singers: Badshah, Aastha Gill
Lyrics: Badshah
Music : Badshah
Programming: Aditya Dev 
Mixing & Mastering: Aditya Dev Studios
Music Label: T-Series
___________________________________
Enjoy & stay connected with us!
👉Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉Follow us on Instagram: http://bit.ly/InstagramTseries",2020-12-06T13:15:01Z,25000,1516,396003
T-Series,"Nayan Song Teaser: Dhvani Bhanushali, Jubin Nautiyal | Bhushan Kumar | Radhika,Vinay|Releasing 8 Dec",7VIyDowYIa4,"Gulshan Kumar and T-Series presents Bhushan Kumar's ""Nayan"" brand new song in the voice of ""Dhvani Bhanushali"" & “Jubin Nautiyal”, The full soundtrack is set to release on 8 December 2020.
The video is directed by Radhika Rao and Vinay Sapru
___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉  Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",2020-12-06T12:45:46Z,102257,4222,2229593
T-Series,"Chhalaang: Care Ni Karda (Full Song) Rajkummar, Nushrratt |Yo Yo Honey Singh,Alfaaz,Hommie Dilliwala",gulj6Zowjos,"Gulshan Kumar & T-Series Films present, official full video song ""Care Ni Karda"" from bollywood movie  Chhalaang starring Rajkummar Rao & Nushrratt Bharuccha. The film is written by Luv Ranjan, Aseem Arrora & Zeishan Quadri, it is directed by Hansal Mehta, produced by Ajay Devgn, Luv Ranjan & Ankur Garg, and presented by Bhushan Kumar.  

Chhalaang is a hilarious, yet inspirational journey of a PT Master from a semi government funded school in Northern India. Montu (Rajkummar Rao) is a typical PT Master for whom it’s just a job. When circumstances put everything that Montu cares for at stake, including Neelu (Nushrratt Bharuccha) who he loves, Montu is forced to do what he has never done - Teach. Through Montu’s journey, Chhalaang humorously addresses the value of Sports Education in the school curriculum.

♪Stream the Full Song Here♪ 
JioSaavn: http://bit.ly/CareNiKarda-JioSaavn
Spotify: http://bit.ly/CareNiKarda-Spotify
Hungama: http://bit.ly/CareNiKarda-Hungama
Gaana: http://bit.ly/CareNiKarda-Gaana
Apple Music: http://bit.ly/CareNiKarda-AppleMusic
Amazon Prime Music: http://bit.ly/CareNiKarda-AmazonPrimeMusic
Wynk: http://bit.ly/CareNiKarda-Wynk
Resso: http://bit.ly/CareNiKarda-Resso
iTunes: http://bit.ly/CareNiKarda-iTunes
Youtube Music: http://bit.ly/CareNiKarda--YoutubeMusic
-----------------------------------------------------------------
♪ For Caller Tunes :
Care Ni Karda - https://bit.ly/3lh2eJW
Care Ni Karda - Miss Tujhe - https://bit.ly/3pfqyhE
Care Ni Karda - Har Baat - https://bit.ly/3n6bQra
Care Ni Karda - Rap - Swear Karu - https://bit.ly/36lLvid
♪ Set as Caller Tune:
Set ""Care Ni Karda"" song as your caller tune sms CLANG1 To 54646
Set ""Care Ni Karda - Miss Tujhe"" song as your caller tune sms CLANG2 To 54646
Set ""Care Ni Karda - Har Baat"" song as your caller tune sms CLANG3 To 54646
Set ""Care Ni Karda - Rap - Swear Karu"" song as your caller tune sms CLANG4 To 54646
♪ For VI Subscribers:
Care Ni Karda - https://vicallertunes.in/content/15157099/ringback
Care Ni Karda - Miss Tujhe - https://vicallertunes.in/content/15157097/ringback
Care Ni Karda - Har Baat - https://vicallertunes.in/content/15157098/ringback
Care Ni Karda - Rap - Swear Karu - https://vicallertunes.in/content/15157073/ringback
---------------------------------------------------------------
Song: Care Ni Karda
Singers: Sweetaj Brar, Yo Yo Honey Singh
Lyrics: Alfaaz, Yo Yo Honey Singh, Hommie Dilliwala
Music Produced by: Yo Yo Honey Singh
Mix Master: Singhsta 
Re-programming: Hommie Dilliwala
Director of Choreography - Vijay Ganguly  
Director Of Photography- Santhana Krishnan Ravichandran 
Costumes - Samidha Wangnoo
Production Designer - Manini Mishra
Music Label: T-Series
---------------------------------------------------------
Operator Codes:
1. Care Ni Karda
Vodafone Subscribers Dial 53712168496
Airtel Subscribers Dial 5432117552691
Idea Subscribers Dial 53712168496
Tata DoCoMo Subscribers dial 54321112168496
BSNL (South / East) Subscribers sms BT 12168496 To 56700
Virgin Subscribers sms TT 12168496 To 58475
MTNL Subscribers sms PT 12168496 To 56789

2. Care Ni Karda - Miss Tujhe
Vodafone Subscribers Dial 53712168497
Airtel Subscribers Dial 5432117555577
Idea Subscribers Dial 53712168497
Tata DoCoMo Subscribers dial 54321112168497
BSNL (South / East) Subscribers sms BT 12168497 To 56700
Virgin Subscribers sms TT 12168497 To 58475
MTNL Subscribers sms PT 12168497 To 56789

3. Care Ni Karda - Har Baat
Vodafone Subscribers Dial 53712168498
Airtel Subscribers Dial 5432117554784
Idea Subscribers Dial 53712168498
Tata DoCoMo Subscribers dial 54321112168498
BSNL (South / East) Subscribers sms BT 12168498 To 56700
Virgin Subscribers sms TT 12168498 To 58475
MTNL Subscribers sms PT 12168498 To 56789

4. Care Ni Karda - Rap - Swear Karu
Vodafone Subscribers Dial 53712168495
Airtel Subscribers Dial 5432117554818
Idea Subscribers Dial 53712168495
Tata DoCoMo Subscribers dial 54321112168495
BSNL (South / East) Subscribers sms BT 12168495 To 56700
Virgin Subscribers sms TT 12168495 To 58475
MTNL Subscribers sms PT 12168495 To 56789
___________________________________
Enjoy & stay connected with us!
👉Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉Follow us on Instagram: http://bit.ly/InstagramTseries",2020-12-06T08:30:04Z,91661,2306,2243666
