channelTitle,title,videoIDS,video_description,publishedDate,likes,dislikes,views
TaylorSwiftVEVO,Taylor Swift - betty (Live from the 2020 Academy of Country Music Awards),orXAg5dIMa8,"“betty” Live from the 2020 Academy of Country Music Awards
 
folklore available here: https://store.taylorswift.com
 
►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
 
►Exclusive Merch: https://store.taylorswift.com

►Follow Taylor Swift Online

Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13

#TaylorSwift #betty #ACM

http://vevo.ly/pWBe5l",2020-09-17T04:35:26Z,452483,6182,10549478
TaylorSwiftVEVO,Taylor Swift - the lakes (Official Lyric Video),tOHcAc3r2kw,"Official lyric video by Taylor Swift performing “the lakes” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com  

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe   
 
►Exclusive Merch: https://store.taylorswift.com   

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift    
Facebook: http://www.facebook.com/taylorswift     
Tumblr: http://taylorswift.tumblr.com   
Twitter: http://www.twitter.com/taylorswift13 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation   
Tumblr: http://taylornation.tumblr.com    
Twitter: http://www.twitter.com/taylornation13  

#TaylorSwift #thelakes #folklore


Music video by Taylor Swift performing the lakes (Lyric Video). © 2020 Taylor Swift",2020-08-18T03:36:50Z,271304,2605,6035936
TaylorSwiftVEVO,Taylor Swift - cardigan ((Footnotes) | Vevo),GPQdWYNi8Wc,"Taylor Swift - The Making of cardigan - (Vevo Footnotes)

Our 'Footnotes' series fills in fans on the particulars of its videos, and in the best cases, reveals a few secrets, too. That was the case when we connected with Taylor Swift for info regarding the writing and shooting of ""cardigan"" from her new 'folklore' album - she really dug deep to give us the goods. This episode is teeming with narrative details. Watch closely and learn about TS's grandfather, her painting skills, the songs' relationship to each other, and the clever plot device that serves as a very resonant metaphor. Taylor had a lot in mind when she was directing the vid, and there's PLENTY to be absorbed in this edition of Footnotes. Share it with a pal. 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe

►Exclusive Merch: https://store.taylorswift.com

►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13

Vevo Footnotes
Executive Producer: Micah Bickham
Producer: Priya Minhas
Editor: Austin Prahl
Music & Talent: Annie Shapiro & Sam Mackoff

#TaylorSwift  #cardigan  #TheMakingOfcardigan #folklore

Music video by Taylor Swift performing cardigan ((Footnotes) | Vevo). © 2020 Taylor Swift

http://vevo.ly/wxOJVS",2020-08-17T14:39:00Z,110325,885,1808329
TaylorSwiftVEVO,Taylor Swift - cardigan (cabin in candlelight version / Visualizer),i50QUXDeC80,Music video by Taylor Swift performing cardigan (cabin in candlelight version / Visualizer). © 2020 Taylor Swift,2020-07-30T03:24:51Z,228862,2365,3571161
TaylorSwiftVEVO,Taylor Swift – exile (feat. Bon Iver) (Official Lyric Video),osdoLjUNFnA,"Official lyric video by Taylor Swift feat. Bon Iver performing “exile” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: https://store.taylorswift.com  

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift  
Facebook: http://www.facebook.com/taylorswift   
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://www.twitter.com/taylorswift13  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://www.twitter.com/taylornation13 

#TaylorSwift #exile #folklore",2020-07-23T17:01:26Z,713569,10707,37844033
TaylorSwiftVEVO,Taylor Swift – hoax (Official Lyric Video),ryLGxpjwAhM,"Official lyric video by Taylor Swift performing “hoax” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: https://store.taylorswift.com  

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift  
Facebook: http://www.facebook.com/taylorswift   
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://www.twitter.com/taylorswift13  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://www.twitter.com/taylornation13 

#TaylorSwift #hoax #folklore",2020-07-23T17:39:58Z,209374,1844,6698953
TaylorSwiftVEVO,Taylor Swift – seven (Official Lyric Video),pEY-GPsru_E,"Official lyric video by Taylor Swift performing “seven” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: https://store.taylorswift.com  

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift  
Facebook: http://www.facebook.com/taylorswift   
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://www.twitter.com/taylorswift13  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://www.twitter.com/taylornation13 

#TaylorSwift #seven #folklore",2020-07-23T17:29:19Z,179245,1383,7976966
TaylorSwiftVEVO,Taylor Swift – august (Official Lyric Video),nn_0zPAfyo8,"Official lyric video by Taylor Swift performing “august” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: https://store.taylorswift.com  

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift  
Facebook: http://www.facebook.com/taylorswift   
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://www.twitter.com/taylorswift13  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://www.twitter.com/taylornation13 

#TaylorSwift #august #folklore",2020-07-23T17:07:04Z,326741,2168,16326419
TaylorSwiftVEVO,Taylor Swift - cardigan (Official Lyric Video),zLSUp53y-HQ,"Official lyric video by Taylor Swift performing “cardigan” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: https://store.taylorswift.com  

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift  
Facebook: http://www.facebook.com/taylorswift   
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://www.twitter.com/taylorswift13  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://www.twitter.com/taylornation13 

#TaylorSwift #cardigan #folklore",2020-07-23T16:55:13Z,145147,1178,7199641
TaylorSwiftVEVO,Taylor Swift – peace (Official Lyric Video),HpxX4ZE4KWE,"Official lyric video by Taylor Swift performing “peace” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: https://store.taylorswift.com  

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift  
Facebook: http://www.facebook.com/taylorswift   
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://www.twitter.com/taylorswift13  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://www.twitter.com/taylornation13 

#TaylorSwift #peace #folklore",2020-07-23T20:47:32Z,134297,1115,4397367
