channelTitle,title,videoIDS,video_description,publishedDate,likes,dislikes,views
The Onion,Man Hasn’t Heard Or Read Single True Thing In 6 Years,b2aj9VF8elc,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air!
Listen to The Topical: https://link.chtbl.com/TheTopical

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA

Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-11-28T17:39:46Z,2909,141,67208
The Onion,New United Ultra Economy Class Tickets Lets Passengers Get Dragged Behind Plane By Giant Rope,fdEVZVCFDhU,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air!
Listen to The Topical: https://link.chtbl.com/TheTopical

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA

Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-11-20T20:38:38Z,3045,79,71123
The Onion,Overwhelmed White Nationalist Militia Spread Too Thin Plotting Attacks Against Everyone Trump Wants,AaI72JgFyPk,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air!
Listen to The Topical: https://link.chtbl.com/TheTopical

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA

Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-11-13T22:48:54Z,4113,514,105836
The Onion,Frustrated Political Scientist Patton Oswalt Attempts To Explain Gerrymandering Without Visual Aids,BMe1IKuCovc,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air!
Listen to The Topical: https://link.chtbl.com/TheTopical

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA
Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-11-06T16:42:32Z,3392,164,85135
The Onion,Health Experts Determine College Social Distancing Guidelines Still No Match For The Jasonator,DYyX3dYeVRc,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air!
Listen to The Topical: https://link.chtbl.com/TheTopical

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA

Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-10-30T17:02:29Z,2532,84,84867
The Onion,"Scientists Discover Dangerous Link Between Book Learnin’, Back Talk",X_fW8LPJJeo,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air!

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA

Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-10-23T20:35:12Z,1326,18,26974
The Onion,Piece Of Sh*t From Nearby Town Marries Bitch From High School,Q6KG117B_pw,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air!
Listen to The Topical: https://link.chtbl.com/TheTopical

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA

Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-10-16T16:23:54Z,4183,118,106301
The Onion,"Disney World On Lockdown After Mickey Escapes Enclosure, Rampages Through Park",1GBLh0FYrig,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air!
Listen to The Topical: https://link.chtbl.com/TheTopical

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA
Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-10-09T15:12:56Z,6052,101,115105
The Onion,Real Estate Experts Confirm Having George Clooney Living In Attic Greatly Increases Property Value,4kYaNImk2g8,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air! Listen to The Topical: https://link.chtbl.com/TheTopical

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA

Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-10-02T15:25:17Z,1664,56,47933
The Onion,Diary Entries Reveal Ben Franklin’s Kite Experiment Was Early Attempt At Erotic Electrostimulation,HGFusDaYOUw,"If you have a question you would like to ask Leslie about the news or the show, use #LesliesMailSack to ask in the comments and your question could be answered live on-air!
Listen to The Topical: https://link.chtbl.com/TheTopical

Subscribe to The Onion on YouTube: http://bit.ly/xzrBUA

Like The Onion on Facebook: http://www.fb.com/theonion
Follow The Onion on Twitter: http://www.twitter.com/theonion
More Breaking News: http://www.theonion.com/video/",2020-09-25T15:01:17Z,2356,65,64151
