channelTitle,title,videoIDS,video_description,publishedDate,likes,dislikes,views
netd müzik,Oytun Elaman - Geriye Aşk Kalır,hJ9piXEnSXc,"Oytun Elaman'ın, Asya Müzik etiketiyle yayınlanan ""Geriye Aşk Kalır"" isimli tekli çalışması, video klibiyle netd müzik'te. 
 
Söz & Müzik: Ahmet Şafak Demirci
Düzenleme: Fedai Tayyar
Yönetmen: Savaş Yakupoğlu
 
netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Pop http://bit.ly/nd-turkcepop

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T15:30:03Z,812,17,7790
netd müzik,Ufuk Deniz - Aşk Meleğim,Ibg57fHr1sg,"Ufuk Deniz'in, Asya Müzik etiketiyle yayınlanan ""Aşk Meleğim"" isimli tekli çalışması, video klibiyle netd müzik'te. 
 
Söz & Müzik: Ufuk Deniz Öztürk
Düzenleme: Koray Aydost
Yönetmen: Sadık Şahan
 
netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Pop http://bit.ly/nd-turkcepop

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T15:30:00Z,96,19,1150
netd müzik,ST - Kafamın İçinde,KJoUxM-rpI8,"ST'nin, Soundove etiketiyle yayınlanan ""Kafamın İçinde"" isimli tekli çalışmaları, video klibiyle netd müzik'te.

Söz:ST
Müzik: Chiko Beatz
Yönetmen: Berkay Bayözen
Mix: ST, Chiko Beatz
Mastering: ST, Chiko Beatz
Cover Art: Dost Graphic, Bora offiziel
Kurgu: ST 
İllüstrasyon: Esra Yüceer

netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Rap http://bit.ly/nd-turkcerap

""Kafamın İçinde"" şarkı sözleri ile

yine yollar zor bana olsun kendini zorlama gülemem bak beni yormadan
gidicem vaktim dolmadan sorma çaresi yok daha
solcan gül gibi kokmadan zaten sorunlu bu kafam
giderim ardıma bakmadan

her yer dert derman rap bize yokken sert ben kafamda gördüm çok engel
dolu çevremde çevrili dikenli tel her yeeer 
düştün yere sert bak kafamın içinde bariyer sokakta gençliğim
olmadı kariyer hiç bıktım zaten
öyleyse madem kapkara kalbimde bi matem
dostlar çok bozdu amatem içinde geçirdi günleri zaten
olmadı içimde rahat hep dert üstüme yapıştı parazit gibi
beynimi eline geçirdi oldum derken kaybettim kendimi

nakarat x2
söyle hayal mi rüya mı bu gerçeğe dön ve de kendini bul 
yine kendimi dertlere kurdum boşver huzurun yolunda koş  

söyle hayal mi rüya mı bu gerçeğe dön ve de kendini bul 
hakikat zor bana kafamın içinde dönüyor dünya


kalk mezarımı kaz sana zararım mı var?
zara düşecek o pas dişi geçirecek aslan biraz
bi kral bi gün ah bi sevap bi günah
bi yön az bune rahat 
kendi düşüncenle savaş dur bi karar yok bi şarap koy ve rahat dur 
bu karanlıkta çözüm bu rap ortamında gebeş çok sen kendi kanından kork 
veda olmasın mı yani bro napalım gidense çok ?
onlar inanmadı hayalimin peşindeyken gülüp geçtiler bana bu kafam sorunluyken
anlatırsam ağlarsın fakat hepsi geçti benden bir gram duygum yok bataklığın içindeyken
artık beklemeyin veda için sanma erken gelemem yolum engel artık çıkıp gel desen de 
napıyım yolum kayıp yine bilmesen de içimde olup biten olayları gizlesem de

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T15:00:05Z,213,24,2133
netd müzik,Batu - İlelebet,RydkZqCz3xU,"Batu'nun, 3 Adım Müzik etiketiyle yayınlanan ""İlelebet"" isimli tekli çalışması, video klibiyle netd müzik'te.

Söz & Müzik: Batu
Düzenleme: Batu
Yönetmen: Çağatay Coşkun 

netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Rap http://bit.ly/nd-turkcerap

""İlelebet"" şarkı sözleri ile

Nakarat
--------
Çekerim çileyi ilelebet
Boş muhabbetlere giremem (ey)
Tarzım bu kendine gel
Saat geç oldu bak yerine geç (ey)
Verse-1
--------
Severim chivas ve hennesy
Aynada görüyor kendisi
Kortunda oyna sen tenisi
Hakemim veririm terhisi
Bu civarda ben varım
Ne ilhamı ne perisi
Ne görürsen hep tersini
Çalış dur oğlum sen dersini
Savurun parayı havaya
Zevkini çıkarın bir daha
Gelmez bu şans
Hatun kapıda bekliyor
Çalmadı zil daha
Etmek ister benimle dans
Ateş gibi yanar ortam
Telefonum çalar (ya)
Zirvedeyken dibe batamam (ey)
Tutmayın yerimde duramam
Elimden geleni yaparım
Soluklan ama bu son
Sevdiğim kadına taparım (ey)
Kalmadı elimde Trap Song
Bu piyasa size bol
Emir veriyorum hadi defol
Sarf edemiyorum size efor
Savaşın içindeyim kora kor
Elimden tutmadı kimse
Çabalarım yine de kendi halimde
Seviyorum bu müziği
Derdimde kendime
Dermanım dert olmuş millete
Sürerim sefasını hayatın
Bilmemek değil öğrenmemek ayıp
Zaman gider elimden kayıp
Öyle olmuyor mekan kapatıp
Yönetmen geldi 3-2-1 KAYIT!!

Nakarat
--------
Çekerim çileyi ilelebet
Boş muhabbetlere giremem (ey)
Tarzım bu kendine gel
Saat geç oldu bak yerine geç (ey)

Verse-2
--------
Çekerim çileyi ilelebet (ya)
Halimiz itten beter
Kul kaderine inanır
Aslı olmayan bir gerçek
Varsa para havlatır
Sarkıtlarla dolu yaşantının
Her zerresi
Elbet düşecek yalanın maskesi
Bin bir yalan dolan olan
Palavralar var bu gerçek
Kindir satan sapan kapan
Atarlanmalar raydan çıkan
Kimsenin kimseye acıması yok
Bu devirde zengin tok
Fakirin yok
Kul kula minnet eylemez
Davası yok
Denemeye çalışıyorum bir şeyler
Hala yok!!

Nakarat
--------
Çekerim çileyi ilelebet
Boş muhabbetlere giremem (ey)
Tarzım bu kendine gel
Saat geç oldu bak yerine geç (ey)

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T14:00:07Z,144,31,2493
netd müzik,Ahmet Aydın - Milat,jKag4bT4SKc,"Ahmet Aydın'ın, Start Up Production etiketiyle yayınlanan ""Milat"" isimli tekli çalışması, video klibiyle netd müzik'te.

Söz & Müzik: Ahmet Aydın
Düzenleme: Osman Güngördü
Yönetmen: Ramazan Arslankaya

netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Pop http://bit.ly/nd-turkcepop

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T13:30:07Z,525,48,5453
netd müzik,Zparga - Baskın,iEm1yZ3TkMQ,"Zparga'nın, 3 Adım Müzik etiketiyle yayınlanan ""Baskın"" isimli tekli çalışması, video klibiyle netd müzik'te.

Söz & Müzik: Zparga
Düzenleme: Zparga
Yönetmen: Zparga

netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Rap http://bit.ly/nd-turkcerap

""Baskın"" şarkı sözleri ile

Baskın var ihbarda hasmım
Telsizde olayın aslı 
A ah a ya
Suçsuz yere kelepçe taktın

Mahallede kolpalardan ıslık
Kafalar tas ortamım hızlı
Köşe başında hasmımı kıstım
Emanet elinde yine tırstın

Tırsma karakol'a girip foto pozla
Yanında takılan karılar menapoz'da 
Dedikodu yapıp ara bozma 
Bizimle takılan oluyodu bomba 

Adidas puma koşu maradona 
Gece karakola işler alabora
Kovalama beni doğudan batıya
''Geliyorum kanka 10 dakikaya''

Köpek olur şimdi burda baronlar
Sözde mafya icraat balon la
Önüne gelene iş koyma 
Kafa açma daha fazla siktir lan 

Valla billa ey bomba imha ey
Gündüz firar ey birdaha birdaha birdaha birader

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T13:00:11Z,138,43,2522
netd müzik,Monika Bulanda - Dur,Ag8OzXhuinY,"Monika Bulanda'nın, Bemol9 Müzik etiketiyle yayınlanan ""Dur"" isimli tekli çalışması, video klibiyle netd müzik'te.

Söz & Müzik: Monika Bulanda
Düzenleme: Monika Bulanda - Murat Çekem
Yönetmen: Volkan Yılmaz

netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Pop http://bit.ly/nd-turkcepop

""Dur"" şarkı sözleri ile

Sustum ben zaman durdu sanki
Yürümekten yoruldum ama yine aynı yoldayım 
Her şeyi silip yıktım kalktım 
Yalanlardan uzaklaşıp 
Ama yine de aynı haldeyim 
Görmeden  sormadan 
Günler sanki bana düşman 
Bilmeden  duymadan
Sadece umudum var 

Dur ne olursa olsun
Çok zor olsa da 
Dur gücüm bitti 
Duramam ben sana karşı (zamana karşı) 

Anılar duvarlarda yankı 
Boşluklarda saklanır ama hala sokaktayım 
Korkmadan savaştım ve kalktım 
Ağlamaktan utanmadım sonuna kadar 
Yaşadım
Bilmeden duymadan 
Sadece umudum var  

Dur ne olursa olsun
Çok zor olsa da 
Dur gücüm bitti 
Duramam ben zamana karşı  (sana karşı) 

Monika Bulanda'nın Dijital Medya Hesapları

https://www.facebook.com/monika.bulanda.9
https://www.instagram.com/MonikaBulanda/

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T12:00:03Z,178,55,5362
netd müzik,Sibel Karaosmanoğlu - Kadınlar,zhnpv_N0024,"Sibel Karaosmanoğlu'nun, Melodi Müzik etiketiyle yayınlanan ""Kalbimin Düşü"" albümünde yer alan ""Kadınlar"" isimli şarkısı, video klibiyle netd müzik'te. 
 
Söz: Sibel Karaosmanoğlu
Müzik: Fuat Bahçeci
Düzenleme: İsmail Ergenler
Yönetmen: Aziz Özer
 
netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Halk Müziği http://bit.ly/nd-halkmuzigi

""Kadınlar"" şarkı sözleri ile 
BİRİ DUYSUN FERYADIMI!
ŞU BAKAN GÖZLER HEP KÖR MÜ!
VURULMUŞUM! YAKILMIŞIM!
VİCDANLAR HALA SAĞIR MI?

ASILMIŞIM! BOĞULMUŞUM!
DÜŞLERİMİZ  YARIM MI?
EZİLMİŞ! SÖMÜRÜLMÜŞÜM !
VİCDANLAR HALA SAĞIR MI?

AH DEDİLER! 
VAH DEDİLER!
BU SUÇ KİMİN EFENDİLER?
KADIN OLMAK MI SUÇ!
SADECE ERKEKLİKMİ GÜÇ!

HAK DEDİLER!
VERMEDİLER!
HER ŞEYİ ALDILAR BENDEN
ADINA TÖRE DEDİLER
GÖRENEK, NAMUS DEDİLER.

ÇALIŞIRSIN DOĞURURSUN.
EMEĞİNLE EZİLİRSİN
KADININ KIYMETİ YOKMUŞ 
CEHALETLE BOĞUŞURSUN.

&&ŞİİR &&
DÖNÜYOR DÜNYA
HER ŞEY TEKRAR EDİYOR
BU KORKULU BİR RÜYA
KESİLMİŞİM PARÇALANMIŞIM
DAĞILMIŞ YÜREĞİM
BEN TOPRAK OLMUŞUM
YER GÖK KAN OLMUŞ
DURDURUN BU VAHŞETİ
DAĞLAR TAŞLAR OYNASADA
NEHİRLER TAŞSADA
DÜNYA DEĞİŞSEDE
DURDURUN!! BU VAHŞETİ!!
DURDURUN!!  BU VAHŞETİ!!
TOPRAKTAN GELMİŞİZ HALA 
KOKUSU ÜZERİMİZDE
TOPRAK BİZE AĞLARKEN
VİCDANLAR NASIL İZLER

TOPRAK BİZE AĞLARKEN 
CEHALETE KURBAN OLDUK
AH ANALAR
GARİP ANALAR
GÖÇÜYORUZ BU DİYARDAN

AH DEDİLER!
VAH DEDİLER!
BU SUÇ KİMİN EFENDİLER?
KADIN OLMAK MI SUÇ?
SADECE ERKEKLİK Mİ GÜÇ?

HAK DEDİLER!
VERMEDİLER!
HER ŞEYİ ALDILAR BENDEN
ADINA TÖRE DEDİLER
GÖRENEK, NAMUS DEDİLER.

ÇALIŞIRSIN DOĞURURSUN.
EMEĞİNLE EZİLİRSİN
KADININ KIYMETİ YOKMUŞ 
CEHALETLE BOĞUŞUR
 
Sibel Karaosmanoğlu'nun Dijital Medya Hesapları
https://www.facebook.com/sibelkaraosmanoglu34
https://twitter.com/SibelPakize
https://www.instagram.com/sibel_muzik34/

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T11:00:16Z,154,18,3274
netd müzik,Ferhat Karalı - Biraz da Sen Ağla,S2zlQtTqBdo,"Ferhat Karalı'nın, Ghetto Production etiketiyle yayınlanan ""Biraz da Sen Ağla"" isimli tekli çalışması, video klibiyle netd müzik'te.

Söz & Müzik: Ferhat Karalı
Düzenleme: Serdar Seçme
Mix & Mastering: Serdar Seçme
Yönetmen & Kurgu: Kubilay Birkan Çapur
StaylingMihrace Karalı

netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Pop http://bit.ly/nd-turkcepop

""Biraz da Sen Ağla"" şarkı sözleri ile

Ağlamasan da bir damla,
Su versen yeter bu yangına.
Ağlamasan da bir damla,
Su versen yeter bu yangına.

Bir damla su düşmedi yere,
Ne kıraç oldum ne de yeşil be.
Üzerimden geçip gitti gölgen,
Ne rüzgarın oldu ne de üşüdüm

Biraz da sen ağla,
Belki can gelir bu topraklara.
Biraz da sen ağla,
Benim gücüm yetmiyor tek başına.

Ağlamasan da bir damla,
Su versen yeter bu yangına.
Ağlamasan da bir damla,
Su versen yeter bu yangına.
Gücüm yetmiyor tek başına, 
Biraz da sen ağla,
Biraz da sen ağla.

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T10:30:04Z,533,55,10131
netd müzik,Ozi & Zodyak - Eşkal,LxAGmz3uPJM,"Ozi & Zodyak'ın, Dinç Müzik etiketiyle yayınlanan ""Eşkal"" isimli tekli çalışması, video klibiyle netd müzik'te.

Söz: Ozi & Zodyak 
Müzik: Acnatro
Düzenleme: Zodyak
Yönetmen: Onurdays

netd müzik'te bu ay http://bit.ly/nd-buay
Yeni Hit Şarkılar http://bit.ly/nd-hit
Türkçe Rap http://bit.ly/nd-turkcerap

""Eşkal"" şarkı sözleri ile

Küçüktüm bir zamanlar merhametli çocuktum 
merhametimle birlikte kayboldu çocukluğum 
yoruldumm  bende her insan gibi bozuldum
elimi tutan olmasada yıkılmadım dik durdum 
 
 
Kolacan et etrafı dikkatli bak sağa sola 
On yaşında bozuk çevrenle düşmüşsün karakola
Yutar seni bu sokaklar unutturur ana baba
Tetikte ol sokaklarda gunes doğana kadar
 
Sabah çocukların gece bizim meskenimiz park 
Başı dik yuruyemez en abileri biziz lan 
Su gibi akacaktır bak mahallemde her kan 
Buz kaplı ciğerlere yan üstümde ter var
 
Kaldırımlar yataktir sokak lambasi güneş,
dünyaya bas kaldır pis kaderinle güreş,
Mevzulardayız bela var bugünüme dün eş
Çıkarız bu bataklıktan elbet biter süreç. 
 
Sırtımdaki yüklerin de var izleri kolumda 
Çelme takan dostlarıma bütün işler yolunda
Şekil koyanların hayatı namlu ucunda 
Kahpeliğine sebep vardır merak etme gocunmam.
 
Mahallem değil de tehlike arz eden benim
Beni taniyanlar bilir gardaş sokaklardır evim,
Baslasakta bu hayata iki sifir yenik
Sonu belli zaten emanetim şerefine delik
 
Soru sorma bana ruhum bedenimde değil
Çektiğin maddeler verir uyuşuk beynine keyif
Savaşcaksan burdayız gel o beldekini billeyim
Arkamdan fırlattığını bi defa tut ben de bileyim 
 
Küçüktüm bir zamanlar merhametli çocuktum 
merhametimle birlikte kayboldu çocukluğum 
yoruldumm  bende her insan gibi bozuldum
elimi tutan olmasada yıkılmadım dik durdum

Facebook http://bit.ly/nd-f
Twitter http://bit.ly/nd-tw
Instagram http://bit.ly/nd-ins
YouTube http://bit.ly/nd-yt",2020-12-08T10:00:15Z,664,161,8413
